title,price,category,gender,img_url,product_url
Martina Store Short Sweatshirt for Women - Violet,EGP 299.99,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/371005/1.jpg?2664,https://www.jumia.com.eg/martina-store-short-sweatshirt-for-women-violet-50017316.html
Martina Store Women’s Stylish Brown Sweatshirt,EGP 399.99,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/326873/1.jpg?2693,https://www.jumia.com.eg/martina-store-womens-stylish-brown-sweatshirt-37862363.html
BENAA FASHION Hoodie Cotton Women's Loose half zipper and high collar-GRAY,EGP 318.74,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/9939331/1.jpg?9445,https://www.jumia.com.eg/benaa-fashion-hoodie-cotton-womens-loose-half-zipper-and-high-collar-gray-133939973.html
Women's hoodies decorated with heart embroidery.,EGP 395.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/8241431/1.jpg?6526,https://www.jumia.com.eg/generic-womens-hoodies-decorated-with-heart-embroidery.-134142875.html
V A L Y A Short Sweatshirt for Women - Bagie,EGP 249.98,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/0350431/1.jpg?7616,https://www.jumia.com.eg/v-a-l-y-a-short-sweatshirt-for-women-bagie-134053027.html
Caesar Women's oversized hoodie printed with colorful words,EGP 429.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/6246331/1.jpg?4183,https://www.jumia.com.eg/caesar-womens-oversized-hoodie-printed-with-colorful-words-133642688.html
Martina Store Rip Knit Women's Hoodie,EGP 199.99,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/0439331/1.jpg?5274,https://www.jumia.com.eg/martina-store-rip-knit-womens-hoodie-133934069.html
Defacto Woman Regular Fit Crew Neck Pullover,EGP 182.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/0749331/1.jpg?6110,https://www.jumia.com.eg/defacto-woman-regular-fit-crew-neck-pullover-133947057.html
Martina Store Stylish Women Hoodie Round Neck - Fuchsia,EGP 299.99,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/552125/1.jpg?4219,https://www.jumia.com.eg/martina-store-stylish-women-hoodie-round-neck-fuchsia-52125576.html
V A L Y A Stylish Women Hoodie With Pocket - Black & Gray,EGP 374.99,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/8250431/1.jpg?7485,https://www.jumia.com.eg/v-a-l-y-a-stylish-women-hoodie-with-pocket-black-gray-134052893.html
LC Waikiki Mickey Mouse Printed Oversize Women's Sweatshirt,EGP 899.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/4530431/1.jpg?3753,https://www.jumia.com.eg/lc-waikiki-mickey-mouse-printed-oversize-womens-sweatshirt-134035438.html
LC Waikiki Hooded Women's Knit Zippered Sweatshirt,EGP 639.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/7530431/1.jpg?4356,https://www.jumia.com.eg/lc-waikiki-hooded-womens-knit-zippered-sweatshirt-134035728.html
Caesar Womens Oversized hoodie with a woman's image printed on it,EGP 429.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/5546331/1.jpg?1211,https://www.jumia.com.eg/caesar-womens-oversized-hoodie-with-a-womans-image-printed-on-it-133645574.html
LC Waikiki Polo Neck Women's Sweatshirt,EGP 449.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/4619331/1.jpg?4815,https://www.jumia.com.eg/lc-waikiki-polo-neck-womens-sweatshirt-133916456.html
Defacto Woman Regular Fit Short Sleeve Pullover - GREY MELANGE,EGP 181.54,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/4781431/1.jpg?3968,https://www.jumia.com.eg/defacto-woman-regular-fit-short-sleeve-pullover-grey-melange-134187490.html
LC Waikiki Crew Neck Women's Sweatshirt,EGP 479.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/5720431/1.jpg?7939,https://www.jumia.com.eg/lc-waikiki-crew-neck-womens-sweatshirt-134027549.html
Caesar Woman Hoodie With Pocket And Triangle Leather In Side,EGP 309.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/210492/1.jpg?2595,https://www.jumia.com.eg/caesar-woman-hoodie-with-pocket-and-triangle-leather-in-side-29401273.html
